quarter,test_date,variable,metric_value,included,weight_bic,weight_rmse,y_hat
2023Q3,2023-07-07,DA_EMPLOY_NONFARM_US,2.3331881597118,TRUE,0.00983025545985539,0.0121372081342329,3.7075523722176
2023Q3,2023-07-07,DA_Fx,2.20402358517703,TRUE,0.00953536922520687,0.0136014701268427,4.62556769583183
2023Q3,2023-07-07,DA_HOUSING_STARTS_US,2.50483884891585,TRUE,0.00924067201165938,0.0105307365102264,4.97889044431022
2023Q3,2023-07-07,DA_HVT,2.2755237415534,TRUE,0.0122051903565656,0.0127601442809386,3.72663387769487
2023Q3,2023-07-07,DA_IC_Br,2.34319470721774,TRUE,0.00996613847551488,0.0120337662634512,3.69262096078479
2023Q3,2023-07-07,DA_IE_S,2.21709569919677,TRUE,0.024347206068656,0.0134415529799472,3.04465614829777
2023Q3,2023-07-07,DA_IE_S_alt,2.27206243544055,TRUE,0.0239780554920501,0.0127990520213116,3.71397057318608
2023Q3,2023-07-07,DA_INCC_DI,2.13635181049095,TRUE,0.0169852652385198,0.0144768068820268,3.73532191603848
2023Q3,2023-07-07,DA_INDF,2.39992497758707,TRUE,0.0122588062156383,0.011471573595695,5.13807179053555
2023Q3,2023-07-07,DA_INDFE,2.47074441122289,TRUE,0.01773032276234,0.0108233744517718,4.62867950430469
2023Q3,2023-07-07,DA_IP,2.26966428167053,TRUE,0.0119658688877831,0.01282611356603,3.61041039048992
2023Q3,2023-07-07,DA_IPCA,3.67886079719673,FALSE,,,-0.294855926132457
2023Q3,2023-07-07,DA_IPCA_EX0,3.50034126614464,FALSE,,,3.6839760061617
2023Q3,2023-07-07,DA_IPCA_EX1,8.94292557511721,FALSE,,,3.205966357681
2023Q3,2023-07-07,DA_IPCA_EX2,2.56745357653112,FALSE,,,3.40399241917605
2023Q3,2023-07-07,DA_IPCA_MA,2.64539410814229,FALSE,,,0.943276581547059
2023Q3,2023-07-07,DA_IPCA_MS,3.02758968562548,FALSE,,,1.25302240514756
2023Q3,2023-07-07,DA_IPCDG,2.32511587023914,TRUE,0.0131121325147715,0.0122216298463727,4.99297845487348
2023Q3,2023-07-07,DA_IPCG,2.16971996202588,TRUE,0.0108259969692864,0.0140349528472188,3.70143022563713
2023Q3,2023-07-07,DA_IPCI,2.2855407188336,TRUE,0.0111877871538799,0.0126485400760292,3.79333870754052
2023Q3,2023-07-07,DA_IPCIG,2.38533801805505,TRUE,0.0140041171025912,0.0116123058760875,3.71110786839192
2023Q3,2023-07-07,DA_IPKG,2.4834638287996,TRUE,0.0104854555797085,0.0107127914209917,3.68309148903452
2023Q3,2023-07-07,DA_IPME,2.37789092835217,TRUE,0.0181192000544649,0.011685154717386,2.8824124013052
2023Q3,2023-07-07,DA_IPMI,2.57486853685346,FALSE,,,3.71679004852882
2023Q3,2023-07-07,DA_IPSDG,2.20791137790706,TRUE,0.0110232055459829,0.0135536121007511,3.88996671888828
2023Q3,2023-07-07,DA_IP_US,2.32230477672617,TRUE,0.0127891848275683,0.0122512357261544,4.13495658726538
2023Q3,2023-07-07,DA_ISA_S,2.24846008632154,TRUE,0.0153154295598758,0.0130691686411414,2.89699722515495
2023Q3,2023-07-07,DA_M1,2.45287389722691,TRUE,0.0126753586658781,0.0109816572292603,3.9436058639029
2023Q3,2023-07-07,DA_PIB_monthly,2.14679979826638,TRUE,0.0179767256984446,0.0143362390999659,3.42462819534897
2023Q3,2023-07-07,DA_QSC,2.3309237286743,TRUE,0.0117690391641031,0.0121608015452038,3.77492973581972
2023Q3,2023-07-07,DA_REER_IPCA,2.19234581941035,TRUE,0.00925929225006122,0.0137467554245251,4.14190147245695
2023Q3,2023-07-07,DA_REER_USD,2.19651961158625,TRUE,0.00972333381619391,0.0136945623210819,4.44874691626095
2023Q3,2023-07-07,DA_RETAIL_SALES_US,2.35356301503617,TRUE,0.0147043724929085,0.0119279735026861,3.81489595872486
2023Q3,2023-07-07,DA_RE_Value,2.56722760396512,TRUE,0.0126099314912954,0.0100251199926202,3.77096187996053
2023Q3,2023-07-07,DA_Retail_Sales,2.06715814499444,TRUE,0.0131369738900736,0.0154621869951415,3.37809371847864
2023Q3,2023-07-07,DA_Savings,2.24664630158076,TRUE,0.0139854845807274,0.0130902794206879,3.78696033506098
2023Q3,2023-07-07,DA_Selic,2.3029729465918,TRUE,0.00916169435586276,0.0124577799285457,3.75046205507559
2023Q3,2023-07-07,DA_Steel,2.24422406360782,TRUE,0.0128849112908806,0.0131185518947553,3.22646952651908
2023Q3,2023-07-07,DA_TRUCK_IMP_US,2.22303869715537,TRUE,0.0142615872698658,0.0133697806409615,3.66961658452158
2023Q3,2023-07-14,DA3m_AUTO_SALES_US,2.21259472181962,TRUE,0.00857395406338899,0.0134962956416371,3.62922948572371
2023Q3,2023-07-14,DA3m_BGS,6.38961659250315,FALSE,,,3.74090809580084
2023Q3,2023-07-14,DA3m_CAP_UTILI_US,2.1702632037553,TRUE,0.0106608914614571,0.0140279275077945,4.11740232933349
2023Q3,2023-07-14,DA3m_CONS_CONF_US,2.29050690894116,TRUE,0.00100794833661321,0.0125937513672525,3.5084656784151
2023Q3,2023-07-14,DA3m_CONS_SENTI_US,2.42346174012435,TRUE,0.0125014841897137,0.0112498308254018,3.35571279245749
2023Q3,2023-07-14,DA3m_CPI_US,3.77376654680573,FALSE,,,3.42435996792915
2023Q3,2023-07-14,DA3m_Credit,2.18722726997871,TRUE,0.0103864015783437,0.0138111710254133,3.72149501546555
