"date","series_code","value"
2023-07-01,"AUTO_SALES_US",16.321
2023-08-01,"AUTO_SALES_US",16.071
2023-09-01,"AUTO_SALES_US",16.209
2023-10-01,"AUTO_SALES_US",15.738
2023-11-01,"AUTO_SALES_US",15.782
2023-12-01,"AUTO_SALES_US",16.321
2024-01-01,"AUTO_SALES_US",15.566
2024-02-01,"AUTO_SALES_US",16.262
2024-03-01,"AUTO_SALES_US",16.217
2024-04-01,"AUTO_SALES_US",16.442
2024-05-01,"AUTO_SALES_US",16.345
2024-06-01,"AUTO_SALES_US",15.774
2024-07-01,"AUTO_SALES_US",16.325
2024-08-01,"AUTO_SALES_US",15.962
2024-09-01,"AUTO_SALES_US",16.318
2024-10-01,"AUTO_SALES_US",16.556
2024-11-01,"AUTO_SALES_US",17.005
2024-12-01,"AUTO_SALES_US",17.305
2025-01-01,"AUTO_SALES_US",15.949
2025-02-01,"AUTO_SALES_US",16.441
2025-03-01,"AUTO_SALES_US",18.331
2025-04-01,"AUTO_SALES_US",17.59
2025-05-01,"AUTO_SALES_US",16.067
2025-06-01,"AUTO_SALES_US",16.042
2025-07-01,"AUTO_SALES_US",16.896
2025-08-01,"AUTO_SALES_US",16.802
1995-01-01,"BGS",-873.7
1995-02-01,"BGS",-1527.2
1995-03-01,"BGS",-1614.6
1995-04-01,"BGS",-1164.4
1995-05-01,"BGS",-1354
1995-06-01,"BGS",-1518.2
1995-07-01,"BGS",-794.3
1995-08-01,"BGS",-646.7
1995-09-01,"BGS",-230.4
1995-10-01,"BGS",-416.6
1995-11-01,"BGS",-722
1995-12-01,"BGS",-725.6
1996-01-01,"BGS",-673.4
